"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit"
"2023-04-16 00:40:50","1681580450000","0%","0%","0%","0%","0%","0.200%","0.200%","365 MiB","31.1 MiB","405 MiB","169 MiB","5.20 kB/s","0 kB/s","0 kB/s","61.5 kB/s","0 kB/s","6.60 kB/s","6.60 kB/s","0 kB/s","0 kB/s","957 kB/s","0 kB/s","6.60 kB/s"
"2023-04-16 00:41:00","1681580460000","0%","0%","0%","0%","0.100%","0%","0.100%","365 MiB","31.1 MiB","405 MiB","169 MiB","5.20 kB/s","0 kB/s","5.80 kB/s","61.5 kB/s","0 kB/s","6.60 kB/s","6.60 kB/s","0 kB/s","5.40 kB/s","958 kB/s","0 kB/s","6.60 kB/s"
"2023-04-16 00:41:10","1681580470000","0%","0%","0%","0%","0%","0.100%","0.200%","365 MiB","31.1 MiB","405 MiB","169 MiB","16 kB/s","0 kB/s","0 kB/s","72.3 kB/s","0 kB/s","21.6 kB/s","21.6 kB/s","0 kB/s","0 kB/s","970 kB/s","0 kB/s","21.6 kB/s"
"2023-04-16 00:41:20","1681580480000","0%","0%","0%","2.60%","1.70%","4.50%","10.1%","372 MiB","31.1 MiB","405 MiB","161 MiB","2.29 GB/s","0 kB/s","0 kB/s","1.51 GB/s","0 kB/s","2.30 GB/s","1.51 GB/s","0 kB/s","0 kB/s","2.30 GB/s","0 kB/s","1.51 GB/s"
"2023-04-16 00:41:30","1681580490000","0%","0%","0%","3.80%","2.60%","3.70%","14.4%","371 MiB","31.1 MiB","405 MiB","163 MiB","3.79 GB/s","0 kB/s","16.8 kB/s","2.39 GB/s","0 kB/s","3.80 GB/s","2.39 GB/s","0 kB/s","10.8 kB/s","3.80 GB/s","0 kB/s","2.39 GB/s"
"2023-04-16 00:41:40","1681580500000","0%","0%","0%","2.60%","1.10%","4.30%","15.3%","368 MiB","31.1 MiB","405 MiB","165 MiB","4.60 GB/s","0 kB/s","14.5 kB/s","2.87 GB/s","0 kB/s","4.61 GB/s","2.87 GB/s","0 kB/s","15.5 kB/s","4.61 GB/s","0 kB/s","2.87 GB/s"
"2023-04-16 00:41:50","1681580510000","0%","0%","0%","3.60%","1.60%","4.40%","12.0%","372 MiB","31.1 MiB","405 MiB","161 MiB","3.57 GB/s","0 kB/s","56.5 kB/s","2.25 GB/s","0 kB/s","3.58 GB/s","2.25 GB/s","0 kB/s","291 kB/s","3.58 GB/s","0 kB/s","2.25 GB/s"
"2023-04-16 00:42:00","1681580520000","0%","0%","0%","5.30%","2.60%","6.40%","15.6%","376 MiB","31.1 MiB","405 MiB","157 MiB","4.01 GB/s","0 kB/s","14.6 kB/s","2.67 GB/s","0 kB/s","4.02 GB/s","2.67 GB/s","0 kB/s","14.4 kB/s","4.03 GB/s","0 kB/s","2.67 GB/s"
"2023-04-16 00:42:10","1681580530000","0%","0%","0%","2.20%","1.10%","3.30%","11.8%","376 MiB","31.1 MiB","405 MiB","157 MiB","3.91 GB/s","0 kB/s","18.6 kB/s","2.36 GB/s","0 kB/s","3.92 GB/s","2.36 GB/s","0 kB/s","15.6 kB/s","3.92 GB/s","0 kB/s","2.36 GB/s"
"2023-04-16 00:42:20","1681580540000","0%","0%","0%","2.40%","1.000%","3.00%","12.0%","374 MiB","31.1 MiB","405 MiB","159 MiB","3.91 GB/s","0 kB/s","17.2 kB/s","2.44 GB/s","0 kB/s","3.91 GB/s","2.44 GB/s","0 kB/s","15.6 kB/s","3.92 GB/s","0 kB/s","2.44 GB/s"
